<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2001.05.20	1.43930	1.44200	1.40700	1.42250	45630	0	50
2001.05.27	1.42230	1.42760	1.41170	1.41750	41464	0	50
2001.06.03	1.41850	1.42170	1.37720	1.37860	44462	0	50
2001.06.10	1.38220	1.41090	1.36820	1.40310	44376	0	50
2001.06.17	1.40430	1.41960	1.39050	1.41330	43993	0	50
2001.06.24	1.41230	1.42310	1.40300	1.41630	43186	0	50
2001.07.01	1.41610	1.41810	1.39640	1.41200	38768	0	50
2001.07.08	1.41060	1.41920	1.39780	1.40450	41067	0	50
2001.07.15	1.40350	1.43570	1.39270	1.42790	47094	0	50
2001.07.22	1.42390	1.43170	1.41530	1.42380	46231	0	50
2001.07.29	1.42260	1.43610	1.42060	1.42930	44422	0	50
2001.08.05	1.42830	1.42870	1.41210	1.42310	44158	0	50
2001.08.12	1.42360	1.45220	1.41640	1.44510	47563	0	50
2001.08.19	1.44500	1.45910	1.44060	1.44280	46158	0	50
2001.08.26	1.44330	1.46270	1.43740	1.45420	45438	0	50
2001.09.02	1.45280	1.46370	1.44040	1.46100	48516	0	50
2001.09.09	1.46080	1.47920	1.45300	1.47210	49018	0	50
2001.09.16	1.47400	1.47840	1.45150	1.45680	46884	0	50
